,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,Word_10,Word_11,Word_12,Word_13,Word_14,Word_15,Word_16,Word_17,Word_18,Word_19,Word_20,Word_21,Word_22,Word_23,Word_24,Word_25,Word_26,Word_27,Word_28,Word_29,Word_30,Word_31,Word_32,Word_33,Word_34,Word_35,Word_36,Word_37,Word_38,Word_39,Word_40,Word_41,Word_42,Word_43,Word_44,Word_45,Word_46,Word_47,Word_48,Word_49,Word_50,Word_51,Word_52,Word_53,Word_54,Word_55,Word_56,Word_57,Word_58,Word_59,Word_60,Word_61,Word_62,Word_63,Word_64,Word_65,Word_66,Word_67,Word_68,Word_69,Word_70,Word_71,Word_72,Word_73,Word_74,Word_75,Word_76,Word_77,Word_78,Word_79,Word_80,Word_81,Word_82,Word_83,Word_84,Word_85,Word_86,Word_87,Word_88,Word_89,Word_90,Word_91,Word_92,Word_93,Word_94,Word_95,Word_96,Word_97,Word_98,Word_99,Word_100,Word_101,Word_102,Word_103,Word_104,Word_105,Word_106,Word_107,Word_108,Word_109,Word_110,Word_111,Word_112,Word_113,Word_114,Word_115,Word_116,Word_117,Word_118,Word_119,Word_120,Word_121,Word_122,Word_123,Word_124,Word_125,Word_126,Word_127,Word_128,Word_129,Word_130,Word_131,Word_132,Word_133,Word_134,Word_135,Word_136,Word_137,Word_138,Word_139,Word_140,Word_141,Word_142,Word_143,Word_144,Word_145,Word_146,Word_147,Word_148,Word_149,Word_150,Word_151,Word_152,Word_153,Word_154,Word_155,Word_156,Word_157,Word_158,Word_159,Word_160,Word_161,Word_162,Word_163,Word_164,Word_165,Word_166,Word_167,Word_168,Word_169,Word_170,Word_171,Word_172,Word_173,Word_174,Word_175,Word_176,Word_177,Word_178,Word_179,Word_180,Word_181,Word_182,Word_183,Word_184,Word_185,Word_186,Word_187,Word_188,Word_189,Word_190,Word_191,Word_192,Word_193,Word_194,Word_195,Word_196,Word_197,Word_198,Word_199,Word_200
Marketing and Public Communication,loyalty,program,personalized,marketing,creative,consumer,brand,leader,consulting,organization,team,experience,audience,people,retail,insight,managing director,growth,engagement,er,tool,strategy,managing,exhibit,global,preference,technology,build,learn,survey,opportunity,role,respondent,speed,digital,scale,drive,testing,offering,leading,platform,journey,realtime,generate,deliver,future,age,channel,large,trend,membership,goal,thirdparty,challenge,follow,level,article,better,competition,improve,travel,sector,increasingly,revenue,advantage,research,target,europe,category,competitive,impact,stage,capability,faster,tech,reward,strategic,restaurant,segment,spending,talent,promotion,area,client,recommendation,customer experience,generative,essential,million,efficiency,google,european,gap,grow,world,creating,expectation,quality,task,innovation,credit card,united state,set forth,new york,business strategy,year ago,right reserved,health care,new product,product service,management service,best practice,company share,million million,work future,transaction customer,average number,customer customer,customer information,global market,high quality,business model,fixed asset,share company,asset management,wide range,long term,past year,risk management,timely manner,aaa aaa,absolute discretion,acceptance payable,accompanying note,accordance paragraph,accordance provision,accordance sfrsi,account client,account holder,accounting entity,accounting estimate,accounting policy,accounting standard,accumulated depreciation,accumulated impairment,acquiring company,acquisition cash,acquisition date,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Annual Reports,fair value,malaysia,bhd,sfrsi,overseas bank,ecl,financial statement,fair,united overseas,bank malaysia,net,group bank,exposure,comprehensive income,loan,ended,allowance,instrument,united,million,company united,overseas,year ended,annual report,financial asset,banking,nancial,continued,recognised,ended december,derivative,credit risk,uob,dec,loan advance,financing,impairment,explanatory note,financial year,committee,comprehensive,islamic,note financial,year year,db,stage,audit,jun,explanatory,january,dividend,cash flow,segment,flow,amortised cost,lease,accounting,risk management,interim financial,reporting,profit loss,holding,amortised,unaudited,financial liability,incorporated,commitment,sep,reserve,foreign exchange,currency,mar,entity,impaired,auditor,significant,asset liability,trading,credit loss,receivables,retail,debt instrument,deferred,measured,derivative financial,growth,financial period,hedge,financial instrument,level,deferred tax,statement group,ratio,chairman,creditimpaired,associate,subordinated,financial institution,bond,profit tax,malaysia bhd,bhd incorporated,incorporated malaysia,islamic banking,advance financing,bhd annual,malaysia explanatory,condensed interim,financing advance,deposit placement,transferred stage,banking operation,sheet exposure,lifetime ecl,kay hian,sfrsi sfrsi,hian holding,jun dec,total comprehensive,subordinated bond,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Investment and Market Research,ratio,growth,inflation,liberty,outlook,global,investor,portfolio,medical,china,earnings,yield,index,economy,longterm,fed,percent,view,depreciation,baseline,sector,economic,private,bond,fixed income,research,infrastructure,working capital,gdp,total asset,valuation,compared,indicates,volatility,fixed asset,strong,current asset,receivable,jan,loan,future,comparison,japan,strategy,level,sample,opportunity,potential,exposure,net,shortterm,total equity,trend,working,consumer,solution,theme,think,believe,cycle,asset class,past,client,expect,figure,inventory,liquidity,ability,world,fiscal,area,relative,investing,asset total,flow,forecast,energy,analyst,sep,treasury,expectation,environment,class,support,cut,november,detailed,australia,asia,central,cash flow,liability total,estate,greater,central bank,real estate,focus,international,institute,mar,liberty medical,medical group,goldman sachs,accumulated depreciation,global market,hong kong,operating profit,total liability,tax total,coverage ratio,debt equity,balance sheet,long term,operating expense,noncurrent asset,net income,asset management,credit risk,credit cost,capital market,npl ratio,income tax,greater china,mar dec,financial report,fee income,basis point,growth rate,intangible asset,economic growth,capital ratio,past year,income expense,risk including,expense operating,financial market,average number,malaysia thailand,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taxation,tax treatment,acquiring company,topup,amalgamation,income tax,amalgamated,allowance,functional currency,acquiring,entity,globe,fr,currency,trading,appropriation,qualifying,foreign exchange,target company,functional,exchange difference,revenue,jurisdiction,stamp duty,annex,ordinary share,computation,gain loss,accounting,stamp,relief,bank account,million,ira,paragraph,deductible,target,ordinary,gain,capital purpose,multinational,taxable,deduction,scheme,duty,apr,conversion,allowed,election,current year,mar,incurred,merger acquisition,located,threshold,designated,filing,shareholding,adjustment,enterprise,merger,profit loss,gst,financial liability,dec,method,financial asset,foreign currency,company company,impairment,exchange rate,unrealised,payable,fair value,adjusted,translated,framework,singapore dollar,carried,treated,realised,recognised,instrument,transaction cost,financial instrument,million million,computed,loan,financial statement,impairment loss,jun,second,article,share company,transitional,acquired,fair,adopt,adoption,january,company share,mne group,trading stock,amalgamated company,topup tax,exchange gain,tax loss,year ended,year end,tax payable,amortised cost,debt security,financial year,fixed asset,tax rate,tax expense,asset financial,asset liability,authority singapore,accounting standard,section section,loss period,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Risk Management,exposure,rwa,ma,merchant bank,institution,merchant,regulatory,tier,ccr,risk management,approach,entity,credit risk,hqla,tier capital,auditor,outsourcing,ratio,derivative,liquidity,ma notice,securitisation,exposure measure,instrument,relevant service,pillar disclosure,lcr,writedown,capital instrument,paragraph,reporting,collateral,funding,portfolio,level,leverage ratio,loan,regulatory capital,sheet item,audit,subtotal,convertible,offbalance,capital requirement,adjustment,service provider,banking,vote,cet,provider,outflow,standardised approach,issue manager,yes,supervisory,issuer,outsourced,offbalance sheet,environmental,financial institution,risk weight,market risk,notice amendment,buffer,pillar,cash outflow,liquidity coverage,leverage,stable funding,retail,misstatement,net,derivative transaction,uob,million,report page,balance sheet,coverage ratio,market participant,stable,accounting,maturity,operational,framework,standardised,outsourcing arrangement,securitisation exposure,impact,internal model,liquid asset,onbalance,yes yes,reporting bank,basel,sector,ssa,risk material,instrument type,climate,unsecured,environmental risk,default subtotal,outsourced relevant,disclosure report,subtotal default,regulatory adjustment,buffer requirement,banking book,basel iii,additional tier,financial statement,group solo,material misstatement,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audit Reports,audit,acra,engagement,public accountant,auditor,quality,accountant,inspection,audit quality,audit firm,finding,pmp,engagement team,financial statement,inspection finding,accounting,team,ssa,reporting,public report,audit evidence,sustainability,performed,listed company,entity,audit procedure,audit opinion,segment,area,significant,opinion,financial reporting,quality control,isca,regulatory,group audit,profession,case study,auditing,accounting estimate,revenue,audit engagement,engagement partner,monitoring,staff,going concern,nonlisted,work performed,noted,component,aes,client,root cause,nonlisted company,sustainability report,fair value,estimate,root,assurance,misstatement,independence,report section,committee,impact,support,auditor report,accountancy,audit committee,testing,judgement,fair,figure,level,tool,international,sustainability reporting,deficiency,valuation,identified,million,guidance,initiative,audit financial,sgx,working,climaterelated,esg,responsibility,accounting entity,risk assessment,inventory,programme,value measurement,remediation,material misstatement,sufficient appropriate,response,framework,regulator,issuer,pmp public,company segment,financial year,key audit,accounting standard,cash flow,risk material,year ended,evidence obtained,data analytics,climate related,significant risk,audit matter,climaterelated risk,year year,policy procedure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Consumer Finance,credit facility,borrower,merchant bank,residential property,purchase residential,merchant,residential,paragraph,refinancing,vehicle,motor vehicle,loan,motor,tenure,unsecured,facility granted,outstanding,option purchase,outstanding credit,subparagraph,repayment,applying,secured,card,referred paragraph,physically,flat,ma notice,act cap,july,exceeds,sum,sale purchase,ma,aggregate,specified,cpf,financing,thereof,purpose paragraph,scheme,age,housing,latest,credit card,hire,letter,sub,meaning,revolving,ira,notice amendment,cumulative,accordance,drawn,valuation,road,financial asset,foreign currency,late,natural person,determining,bank singapore,declaration,million,monies,august,banking act,servicing,check,currency,assistance,lender,section applied,signed,ratio,outside singapore,mobility,purpose determining,applied section,repay,pursuant,medical,natural,set paragraph,amendment,banking,component,february,total net,ask,permit,sole,january,net,proceeds,notwithstanding,subscription,enabling,living,facility purchase,refinancing facility,directly indirectly,accordance paragraph,year year,fixed rate,section banking,business trust,effective date,asset net,period beginning,million million,financial institution,pursuant section,stamp duty,company company,calculated based,payment date,date date,report credit,liquid asset,risk assessment,term condition,section act,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Financial Regulations,ma,audit,market participant,participant,service provider,provider,principle,committee,broker,institution,regulatory,auditor,trading,tenet,aes,engagement,senior,financial institution,surveillance,code,quality,risk management,enforcement,senior management,customer asset,misconduct,function,governance,objective,issuer,audit committee,responsibility,client,global,investor,sfa,paragraph,framework,sgx,dealing,acra,outcome,remuneration,financial statement,fair,benchmark,monitoring,guidance,token,retail,shareholder,board senior,reporting,supervision,monetary authority,trading activity,inspection,impact,consumer,significant,investigation,role,external,authority singapore,digital payment,foreign exchange,staff,stakeholder,entity,conflict,internal audit,approach,settlement,corporate governance,assurance,potential,external auditor,opinion,executive,safeguard,supervisory,sustainability,finding,digital,oversight,effectiveness,future,accounting,accredited,corporation,accountability,regulated,team,listing,independence,support,communication,group audit,level,sector,dpt service,global code,payment token,policy procedure,board committee,market practice,audit quality,internal auditor,internal control,engagement team,nominating committee,remuneration committee,listing rule,audit function,inspection finding,security future,listed company,risk profile,law regulation,audit firm,company segment,independent director,risk assessment,risk awareness,auditor report,capital market,asset class,management committee,financial market,annual report,accounting estimate,new director,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anti Money Laundering,amlcft,ma,legal person,laundering,sector,cdd,mltf,merchant bank,money laundering,financing,paragraph,fatf,institution,fis,merchant,terrorism,ma notice,entity,crime,typology,financial institution,illicit,proliferation,business relation,banking,beneficial owner,acra,wire transfer,criminal,financing terrorism,monitoring,threat,lea,suspicious,bank account,proceeds,jurisdiction,amlcft control,payment service,wire,offence,observed,service provider,beneficial,shell company,shell,natural person,higher risk,notice amendment,provider,casino,stro,investigation,correspondent,case study,amlcft requirement,supervisory,risk assessment,pep,paragraph notice,suspicious transaction,sanction,international,guidance,beneficiary,cad,diligence,countering financing,fraud,originator,str,natural,syndicate,laundering countering,flag,terrorism financing,prevention money,regulated,vulnerability,country jurisdiction,legal arrangement,misuse,bank shall,estate,best practice,money transfer,analytics,trade finance,countering,amendment,identified,laundering terrorism,level,screening,real estate,prevention,involving,csp,precious,policy procedure,mltf risk,proliferation financing,cdd measure,value transfer,transfer originator,regulated dealer,institution shall,correspondent banking,prescribed form,transfer service,customer diligence,red flag,relation customer,transaction monitoring,cross border,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Technology,oday,institute,future,technology,right reserved,tech,space,reserved,researcher,digital,metaverse,health,human,robot,sport,user,energy,cell,drone,ing,work future,experience,intelligence,world,university,platform,device,research,virtual,sensor,carbon,climate,chip,health care,news,threat,artificial,dna,quantum,computing,cybersecurity,cyber,environment,reality,tool,attack,blockchain,global,consumer,innovation,artificial intelligence,smart,robotics,potential,solution,chain,patient,game,food,network,traditional,gene,capability,city,lab,earth,supply chain,organization,mobility,team,scenario,medicine,trend,image,satellite,battery,restaurant,web,software,impact,computer,scientist,startup,challenge,synthetic,increasingly,life,efficiency,significant,task,tion,learning,fan,generative,cloud,approach,victim,personalized,solar,actor,future oday,oday institute,institute right,reserved industry,list work,year list,climate change,machine learning,financial service,new york,business model,financial institution,chief executive,personal data,past year,real estate,managing director,executive officer,product service,year year,management service,wide range,united state,new business,new product,customer experience,best practice,case study,year ago,covid pandemic,private sector,risk associated,digital payment,data analytics,risk assessment,bank account,financial sector,risk management,law enforcement,restaurant hotel,effective date,service provider,banking service,economic growth,global market,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
