file_name,expected_topic,predicted_topic
FAQ - Notice on Cyber Hygiene.txt,Risk Management,Anti Money Laundering
Balance_sheets31March15.txt,Financial Statements,Financial Statements
pwc-iar-2023.txt,Annual Reports,Risk Management
GEL-NDA.txt,Non-Disclosure Agreements (NDA),Anti Money Laundering
gp-financial-3q-2017.txt,Financial Statements,Financial Statements
2024-money-laundering-risk-assessment-report.txt,Risk Management,Anti Money Laundering
3. Nomura Financial Statement.txt,Financial Statements,Financial Statements
liquidity-coverage-ratio-3q-2018.txt,Financial Statements,Financial Statements
Guidance to Capital Markets Intermediaries on Enhancing AMLCFT Frameworks and Controls.txt,Anti Money Laundering,Risk Management
finanalysis_sample_reports.txt,Investment and Market Research,Risk Management
Notice PSN01 dated 2 April 2024.txt,Anti Money Laundering,Anti Money Laundering
condensed-financial-statement-2q-2023-results.txt,Financial Statements,Financial Statements
Compliance Toolkit for Merchant Banks Last Revised 12 September 2024.txt,Consumer Finance,Risk Management
liquidity-coverage-ratio-2q-2017.txt,Financial Statements,Financial Statements
Global Proxy Voting Policy - 2024.txt,Regulatory and Compliance,Risk Management
pillar3-disclosures-2q-2020.txt,Risk Management,Risk Management
The Singapore Guide to Conduct and Market Practices for the Wholesale Financial Markets.txt,Financial Regulations,Risk Management
audit-regulatory-report-2023.txt,Audit Reports,Anti Money Laundering
capitalxtend-client-agreement-v10-28112023.txt,Client Agreements,Anti Money Laundering
gp-financial-2q-2020.txt,Financial Statements,Financial Statements
uobar2018.txt,Annual Reports,Financial Statements
Guidelines on Environmental Risk Management for Banks.txt,Risk Management,Risk Management
net-stable-funding-ratio-disclosure-2q-2018.txt,Financial Statements,Financial Statements
5f57eed0d983f9acc1ca0af0_360Alumni API Documentation.txt,Technology,Anti Money Laundering
uob-bib-service-agreement.txt,Client Agreements,Anti Money Laundering
pillar3-disclosures-2q-2022.txt,Risk Management,Risk Management
2020-pmp-public-report.txt,Audit Reports,Risk Management
pillar3-disclosures-3q-2017.txt,Risk Management,Financial Statements
pillar3-disclosures-1q-2023.txt,Risk Management,Risk Management
sg-cass-ac121-2-3(rev-0)-sop-for-flight-crew-members.txt,Operational,Anti Money Laundering
annual-report-2018.txt,Annual Reports,Risk Management
gp-financial-4q-2019.txt,Financial Statements,Financial Statements
unaudited-interim-financial-statements-310321.txt,Financial Statements,Financial Statements
nucats-overview-of-sops.txt,Operational,Anti Money Laundering
Directive 5.txt,Risk Management,Risk Management
condensed-financial-statement-2q-2024-results.txt,Financial Statements,Financial Statements
liquidity-coverage-ratio-1q-2019.txt,Financial Statements,Financial Statements
annual-report-2023.txt,Annual Reports,Risk Management
mpdf.txt,Mergers and Acquisitions,Risk Management
MAS Notice 1108 Cancellation.txt,Risk Management,Risk Management
MAS-SGX Trade Surveillance Practice Guide.txt,Financial Regulations,Anti Money Laundering
BB_Strategies_for_growth.txt,Strategic,Anti Money Laundering
2023-annual-report-en.txt,Annual Reports,Financial Statements
Guarantee to Bank.txt,Loans,Risk Management
FSDF Financial Statement 2021.txt,Financial Statements,Financial Statements
BCG-Your-Capabilities-Need-a-Strategy-Mar-2019_tcm9-215825.txt,Strategic,Anti Money Laundering
dbs-annual-report-2023-financial-statements.txt,Financial Statements,Financial Statements
net-stable-funding-ratio-disclosure-4q-2018.txt,Financial Statements,Financial Statements
what-consumers-want-from-personalization.txt,Marketing and Public Communication,Anti Money Laundering
gp-financial-1q-2018.txt,Financial Statements,Financial Statements
Notice 1109 Unsecured Credit Facilities to Individuals_1 Jul 2021.txt,Consumer Finance,Risk Management
Singapore’s National Money Laundering and Terrorist Financing Risk Assessment .txt,Risk Management,Risk Management
best-practices-for-countering-trade-based-money-laundering.txt,Anti Money Laundering,Anti Money Laundering
BCM-Guidelines-June-2022.txt,Risk Management,Risk Management
pillar3-disclosures-1q-2019 (1).txt,Risk Management,Risk Management
general_terms_and_conditions.txt,Client Agreements,Risk Management
Audited-Results-For-Year-Ended-31-Dec-2020.txt,Financial Statements,Financial Statements
242 - Loyalty Programs and Customer Expectations Are Growing - BCG - www.bcg.com.txt,Marketing and Public Communication,Anti Money Laundering
singapore-cyber-landscape-2023.txt,Technology,Anti Money Laundering
financial-statements.txt,Financial Statements,Financial Statements
ian de vaz_due diligence.txt,Client Agreements,Risk Management
SFLCBReg.txt,Financial Regulations,Risk Management
FSDF Financial Statements 2023.txt,Financial Statements,Financial Statements
gp-financial-4q-2017.txt,Financial Statements,Financial Statements
Guidelines to PSN01 dated 2 April 2024.txt,Anti Money Laundering,Derivatives
liquidity-coverage-ratio-1q-2018.txt,Financial Statements,Financial Statements
2019-pmp-public-report.txt,Audit Reports,Risk Management
investment-marketoutlook-2023.txt,Financial Statements,Anti Money Laundering
LexologyGTDTPrivateMergersandAcquisitions2023Singaporechapter.txt,Mergers and Acquisitions,Risk Management
selected-financial-statements-2022-en.txt,Financial Statements,Financial Statements
balance-sheets-31mar19.txt,Financial Statements,Financial Statements
BCG_Designing_the_Corporate_Center_May_2013_tcm9-97479.txt,Strategic,Anti Money Laundering
Due-Diligence-for-Private-Acquisitions-in-Singapore.txt,Mergers and Acquisitions,Risk Management
7 Credit Facilities to Directors Related Corporations etc 01 Nov 1985.txt,Risk Management,Risk Management
introducing-the-next-gen-operating-model.txt,Strategic,Anti Money Laundering
PA00JM8D.txt,Operational,Risk Management
unaudited-interim-financial-statements-30092021.txt,Financial Statements,Financial Statements
unaudited-condensed-interim-financial-statements-300922.txt,Financial Statements,Financial Statements
Sample-Employee-Handbook.txt,Administrative,Anti Money Laundering
DBS_AR21_LR.txt,Annual Reports,Anti Money Laundering
unaudited-results-for-nine-months-ended-30-september-2024.txt,Financial Statements,Financial Statements
MAS Notice PSN10  Exempt Payment Service Providers Tracked.txt,Anti Money Laundering,Anti Money Laundering
ar2023.txt,Annual Reports,Financial Statements
condensed-financial-statement-4q-2022.txt,Financial Statements,Financial Statements
unaudited-interim-financial-statements-300919.txt,Financial Statements,Financial Statements
NDA+FichePrésentation.txt,Non-Disclosure Agreements (NDA),Anti Money Laundering
EC.txt,Employment,Anti Money Laundering
Sample Employment Contract.txt,Employment,Anti Money Laundering
bcg-infrastructure-strategy-2024-creating-value-through-operational-excellence-mar-2024.txt,Strategic,Anti Money Laundering
2. Financial-statements-SAMPLE.txt,Financial Statements,Financial Statements
credit_facilities.txt,Loans,Risk Management
unaudited-results-for-second-quarter-ended-30-june-2024.txt,Financial Statements,Financial Statements
Consumer Credit Report_Updated_30_Oct_2024.txt,Risk Management,Risk Management
049_SINGAPORE-L-P.txt,Mergers and Acquisitions,Anti Money Laundering
Guidance Notes on Acctg Std_POST FRG_FINAL_0.txt,Regulatory and Compliance,Financial Statements
Audited-Results-For-Year-Ended-31-Dec-2021.txt,Audit Reports,Financial Statements
e-tax-guide_tax-treatment-on-appropriation-of-trading-stock-for-non-trade-or-capital-purposes-and-conversion-of-non-trade-or-capital-assets-to-trading-stock.txt,Taxation,Risk Management
DBS Annual Report 2023.txt,Annual Reports,Risk Management
pillar3-disclosures-2q-2017.txt,Risk Management,Risk Management
annual-report-2020.txt,Annual Reports,Risk Management
