file_path,expected_topic,predicted_topic_gpt4o,predicted_topic_llama,predicted_topic_claude,predicted_topic_titan,predicted_topic_bert,predicted_topic_longformer
3. Nomura Financial Statement_cleaned.txt,financial_statements,financial_statements,financial_statements,financial_statements,financial_statements,risk_management,loans
4. KPMG Financial Statements_cleaned.txt,financial_statements,financial_statements,financial_statements,taxation,unknown,risk_management,loans
1. GAAP Financial Statements 2023_cleaned.txt,financial_statements,financial_statements,financial_statements,financial_statements,financial_statements,risk_management,loans
2. Financial-statements-SAMPLE_cleaned.txt,financial_statements,financial_statements,financial_statements,financial_statements,financial_statements,ndas,loans
FSDF Financial Statement 2021_cleaned.txt,financial_statements,financial_statements,financial_statements,financial_statements,financial_regulations,risk_management,loans
FSDF Financial Statement 2022_cleaned.txt,financial_statements,financial_statements,financial_statements,financial_statements,financial_statements,risk_management,loans
FSDF Financial Statements 2023_cleaned.txt,financial_statements,financial_statements,financial_statements,financial_statements,financial_regulations,risk_management,loans
dbs-annual-report-2023-risk-management_cleaned.txt,risk_assessment_reports_frameworks,risk_management,risk_management,risk_management,financial_regulations,risk_management,loans
Singapore’s National Money Laundering and Terrorist Financing Risk Assessment _cleaned.txt,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,risk_management,financial_statements,ndas,loans
2024-money-laundering-risk-assessment-report_cleaned.txt,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,unknown,risk_management,loans
Credit Risk_cleaned.txt,risk_assessment_reports_frameworks,risk_management,risk_management,risk_management,risk_assessment_reports_frameworks,risk_management,loans
Money Laundering National Risk Assessment_cleaned.txt,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,unknown,risk_management,loans
money-laundering-and-terrorism-financing-risk-assessment-of-legal-persons_cleaned.txt,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,unknown,risk_management,loans
MAS Framework for Impact and Risk Assessment of Financial Institutions_cleaned.txt,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,financial_regulations,risk_management,loans
Monograph - MAS Framework for Impact and Risk Assessment_revised Nov 2023_cleaned.txt,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,financial_regulations,risk_management,loans
Consumer Credit Report_Updated_30_Oct_2024_cleaned.txt,risk_assessment_reports_frameworks,consumer_finance,consumer_finance,risk_assessment_reports_frameworks,financial_regulations,risk_management,loans
finanalysis_sample_reports_cleaned.txt,investments_market_research,financial_statements,financial_statements,financial_statements,financial_statements,risk_management,loans
merrill-cio-weekly-letter_cleaned.txt,investments_market_research,investments_market_research,investments_market_research,investments_market_research,financial_regulations,risk_management,loans
blackrock-bii-global-outlook-2025_cleaned.txt,investments_market_research,investments_market_research,investments_market_research,investments_market_research,financial_regulations,risk_management,loans
MS_article_thebeatoutlook2025_cleaned.txt,investments_market_research,investments_market_research,investments_market_research,investments_market_research,financial_regulations,risk_management,loans
BNY-2025-market-outlook-navigating-a-new-landscape_cleaned.txt,investments_market_research,investments_market_research,investments_market_research,investments_market_research,financial_statements,risk_management,loans
GS-Markets-Outlook-2025-Trading-Tails-and-Tailwinds_cleaned.txt,investments_market_research,investments_market_research,investments_market_research,investments_market_research,financial_regulations,risk_management,loans
"Macquerie_Global Outlook 2025_ Plan for growth, prepare for volatility - Report OTLK-REPORT-2025_cleaned.txt",investments_market_research,investments_market_research,investments_market_research,unknown,financial_regulations,risk_management,loans
Guarantee to Bank_cleaned.txt,loans,loans,loans,loans,financial_regulations,risk_management,loans
k-Non-Project-AC-1st-party-LOAN-AGREEMENT-LL-CL-DCL_Jan24_cleaned.txt,loans,loans,loans,loans,financial_regulations,risk_management,loans
mom_sb_cleaned.txt,loans,employment,employment,employment,financial_regulations,ndas,loans
mom_sb_mw_cleaned.txt,loans,employment,loans,employment,financial_regulations,ndas,loans
Phoenix Capital and Adamantium Capital Loan Agreement_cleaned.txt,loans,loans,loans,loans,unknown,risk_management,loans
credit_facilities_cleaned.txt,loans,loans,loans,financial_regulations,financial_regulations,risk_management,loans
Barclays-mutal-NDA_cleaned.txt,ndas,ndas,ndas,ndas,ndas,risk_management,loans
VIMA - Model Non-Disclosure Agreement (22.11.2019).doc_ver=2020-02-18-121905-533_cleaned.txt,ndas,ndas,ndas,ndas,financial_regulations,risk_management,loans
Employee-Non-Disclosure-Agreement-NDA_cleaned.txt,ndas,ndas,ndas,ndas,ndas,risk_management,loans
Basic-Non-Disclosure-Agreement_cleaned.txt,ndas,ndas,ndas,ndas,ndas,ndas,loans
GEL-NDA_cleaned.txt,ndas,ndas,ndas,ndas,ndas,ndas,loans
SG-Employment Act 1968_cleaned.txt,employment,employment,employment,employment,employment,risk_management,loans
Standard-Employment-Agreement_cleaned.txt,employment,employment,employment,employment,employment,risk_management,loans
Sample Employment Contract_cleaned.txt,employment,employment,employment,employment,employment,ndas,loans
EC_cleaned.txt,employment,employment,employment,employment,employment,risk_management,loans
SG-MOM-workright-guide-employment-laws_cleaned.txt,employment,employment,employment,employment,employment,risk_management,loans
SG-MOM-workright-employers-toolkit-2022_cleaned.txt,employment,employment,employment,employment,financial_statements,risk_management,loans
SG-MOM-workright-guide-employment-laws.txt,employment,employment,employment,employment,employment,ndas,investments_market_research
Employment-Contract-Agreement_cleaned.txt,employment,employment,employment,employment,employment,risk_management,loans
DigitalWorld & Trump M&A_cleaned.txt,partnerships,partnerships,partnerships,financial_statements,unknown,risk_management,investments_market_research
The_Singapore_Code_on_Take_Overs_and_Merger_24 January 2019_cleaned.txt,partnerships,financial_regulations,risk_assessment_reports_frameworks,financial_regulations,loans,risk_management,loans
5891-european-union-and-argentina-transition-mineral-agreement-2023_cleaned.txt,partnerships,partnerships,partnerships,partnerships,unknown,risk_management,loans
Guidelines_Regulation_of_Markets_cleaned.txt,financial_regulations,financial_regulations,financial_regulations,financial_regulations,financial_regulations,risk_management,loans
Guidance Note on Financial Statements Disclosure_0_cleaned.txt,financial_regulations,financial_statements,financial_statements,financial_statements,financial_statements,ndas,loans
Guidelines on Provision of Consumer Protection Safeguards by Digital Payment Token Service Providers_cleaned.txt,financial_regulations,consumer_finance,consumer_finance,financial_regulations,financial_regulations,risk_management,loans
Practice Bulletin_ Assessment of Internal Audit Function_cleaned.txt,financial_regulations,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,risk_management,risk_assessment_reports_frameworks,risk_management,loans
Guidelines to MAS Notice SFA02-N05  January 2025_cleaned.txt,financial_regulations,AML,risk_assessment_reports_frameworks,AML,financial_statements,risk_management,loans
Guidelines for regulated dealers_Annexes_20240502_v4.0_cleaned.txt,financial_regulations,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,financial_regulations,risk_management,loans
Guidelines on Individual Accountability and Conduct_cleaned.txt,financial_regulations,risk_management,risk_management,financial_regulations,financial_regulations,risk_management,loans
Guidance Note on Change of Auditors_0_cleaned.txt,financial_regulations,financial_regulations,financial_regulations,financial_statements,financial_regulations,ndas,loans
IFA - SGX Guide (final)_cleaned.txt,financial_regulations,financial_regulations,risk_assessment_reports_frameworks,financial_regulations,financial_regulations,risk_management,loans
Code of Corporate Governance Disclosure Guide_cleaned.txt,financial_regulations,financial_regulations,risk_management,financial_regulations,financial_statements,ndas,loans
audit-regulatory-report-2024_cleaned.txt,financial_regulations,risk_assessment_reports_frameworks,risk_management,financial_regulations,financial_statements,risk_management,loans
MAS Notice 1113 Motor Vehicle Loans - Merchant Bank_1 July 2021_cleaned.txt,consumer_finance,financial_regulations,loans,loans,financial_regulations,risk_management,loans
2021-06-28 Notice 1106B_COVID_LTV_cleaned.txt,consumer_finance,financial_regulations,loans,loans,financial_regulations,ndas,loans
2021-06-28 MAS Notice 1106_cleaned.txt,consumer_finance,loans,loans,loans,financial_regulations,risk_management,loans
Notice 1107 Bridging Loans for the Purchase of Immovable Properties_1 Jul 2021_cleaned.txt,consumer_finance,loans,loans,loans,financial_regulations,ndas,loans
MAS 1106A 2023_04_cleaned.txt,consumer_finance,loans,loans,loans,financial_regulations,risk_management,loans
Notice 1109 Unsecured Credit Facilities to Individuals_1 Jul 2021_cleaned.txt,consumer_finance,financial_regulations,financial_regulations,financial_regulations,financial_regulations,risk_management,loans
2021-06-28 Notice 1115A_COVID_TDSR_cleaned.txt,consumer_finance,financial_regulations,loans,risk_assessment_reports_frameworks,financial_regulations,ndas,loans
MAS Notice 1115_TDSR_290922_cleaned.txt,consumer_finance,loans,financial_regulations,financial_regulations,financial_regulations,risk_management,loans
Compliance Toolkit for Merchant Banks Last Revised 12 September 2024_cleaned.txt,consumer_finance,financial_regulations,risk_management,financial_regulations,financial_statements,risk_management,loans
MAS Notice 1108 Cancellation_cleaned.txt,risk_management,financial_regulations,financial_regulations,financial_regulations,financial_regulations,ndas,loans
blue_book_wholesale_cleaned.txt,risk_management,risk_management,risk_management,financial_regulations,financial_regulations,risk_management,loans
Information Paper on Environmental Risk Management Banks_cleaned.txt,risk_management,risk_management,risk_management,risk_assessment_reports_frameworks,unknown,risk_management,loans
Consultation Paper on Guidelines on Transition Planning Banks_cleaned.txt,risk_management,risk_management,risk_management,risk_management,financial_regulations,risk_management,loans
7 Credit Facilities to Directors Related Corporations etc 01 Nov 1985_cleaned.txt,risk_management,financial_regulations,financial_regulations,loans,financial_regulations,ndas,loans
MAS Notice 1005_29 Jun 2021_cleaned.txt,risk_management,financial_regulations,risk_management,risk_management,financial_regulations,risk_management,loans
MAS Notices 644 655 644A 655A 1114 1118 Cancellation 2024_cleaned.txt,risk_management,risk_management,risk_management,risk_management,financial_regulations,ndas,loans
8 Credit Facilities and Limits 01 Nov 1985_cleaned.txt,risk_management,financial_regulations,financial_regulations,financial_regulations,financial_regulations,ndas,loans
FAQ - Notice on Cyber Hygiene_cleaned.txt,risk_management,risk_management,risk_management,risk_management,financial_regulations,ndas,loans
MAS Notice 1121 - 4_cleaned.txt,risk_management,risk_management,risk_management,financial_regulations,financial_regulations,risk_management,loans
MAS NOTICE 1004_11062021_cleaned.txt,risk_management,financial_regulations,financial_regulations,financial_regulations,financial_regulations,ndas,loans
Guidelines on Outsourcing Banks_cleaned.txt,risk_management,risk_management,risk_management,risk_management,financial_regulations,risk_management,loans
Guidelines on Risk Management Practices  Internal Controls July 2024_cleaned.txt,risk_management,risk_management,risk_management,risk_management,financial_regulations,risk_management,loans
