file_name,folder_name
244 - Global Search Engine Decision on The Future of Third-Party Cookies - BCG - www.bcg.com_extracted.txt,Marketing and Public Communication
what-consumers-want-from-personalization_extracted.txt,Marketing and Public Communication
the-blueprint-for-ai-powered-marketing_extracted.txt,Marketing and Public Communication
personalization-in-action_extracted.txt,Marketing and Public Communication
243 - Winning Strategies for B2B SaaS Companies - BCG - www.bcg.com_extracted.txt,Marketing and Public Communication
245 - GenAI’s Influence on Future Creativity in Marketing - BCG - www.bcg.com_extracted.txt,Marketing and Public Communication
242 - Loyalty Programs and Customer Expectations Are Growing - BCG - www.bcg.com_extracted.txt,Marketing and Public Communication
unaudited-interim-financial-statements-300924_extracted.txt,Annual Reports
gp-financial-4q-2018_extracted.txt,Annual Reports
unaudited-interim-financial-statements-300919_extracted.txt,Annual Reports
Audited-Results-Ended-31-Dec-2019_extracted.txt,Annual Reports
unaudited-interim-financial-statements-300920_extracted.txt,Annual Reports
unaudited-interim-financial-statements-300619_extracted.txt,Annual Reports
uobar2020_extracted.txt,Annual Reports
unaudited-interim-financial-statements-300620_extracted.txt,Annual Reports
uobar2019_extracted.txt,Annual Reports
ar2016_extracted.txt,Annual Reports
unaudited-interim-financial-statements-300624_extracted.txt,Annual Reports
unaudited-interim-financial-statements-310322_extracted.txt,Annual Reports
Audited-Results-For-The-Year-Ended-31-Dec-2022_extracted.txt,Annual Reports
financial-statements_extracted.txt,Annual Reports
selected-financial-statements-2023-en_extracted.txt,Annual Reports
unaudited-interim-financial-statements-300623_extracted.txt,Annual Reports
Balance_sheets30June16_extracted.txt,Annual Reports
unaudited-interim-financial-statements-310321_extracted.txt,Annual Reports
UOB Presentation - Aug 2023_extracted.txt,Annual Reports
gp-financial-1q-2018_extracted.txt,Annual Reports
dbs-annual-report-2023-financial-statements_extracted.txt,Annual Reports
Annual_ReportDec2015_extracted.txt,Annual Reports
gp-financial-2q-2018_extracted.txt,Annual Reports
gp-financial-3q-2018_extracted.txt,Annual Reports
independent-auditors-report_extracted.txt,Annual Reports
unaudited-interim-financial-statements-300923_extracted.txt,Annual Reports
UOBKH_AR14_extracted.txt,Annual Reports
Balance_sheets31Mar17_extracted.txt,Annual Reports
DBS Annual Report 2023_extracted.txt,Annual Reports
unaudited-condensed-interim-financial-statements-300922_extracted.txt,Annual Reports
Annual-Report2017_extracted.txt,Annual Reports
net-stable-funding-ratio-disclosure-2q-2018_extracted.txt,Annual Reports
liquidity-coverage-ratio-4q-2018_extracted.txt,Annual Reports
