file_path,expected_topic,predicted_topic_gpt4o,predicted_topic_llama
Cleaned_Data_v2/Regulatory and Compliance/Risk Management/FAQ - Notice on Cyber Hygiene.txt,Risk Management,Regulatory and Compliance,Regulatory and Compliance
Cleaned_Data_v2/Financial/Financial Statements/Balance_sheets31March15.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Financial/Annual Reports/pwc-iar-2023.txt,Annual Reports,Annual Reports,Annual Reports
Cleaned_Data_v2/Legal and Contractual/Non-Disclosure Agreements (NDA)/GEL-NDA.txt,Non-Disclosure Agreements (NDA),Non-Disclosure Agreements (NDA),Non-Disclosure Agreements (NDA)
Cleaned_Data_v2/Financial/Financial Statements/gp-financial-3q-2017.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Regulatory and Compliance/Risk Management/2024-money-laundering-risk-assessment-report.txt,Risk Management,Anti Money Laundering,Anti Money Laundering
Cleaned_Data_v2/Financial/Financial Statements/3. Nomura Financial Statement.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Financial/Financial Statements/liquidity-coverage-ratio-3q-2018.txt,Financial Statements,Regulatory and Compliance,Risk Management
Cleaned_Data_v2/Regulatory and Compliance/Anti Money Laundering/Guidance to Capital Markets Intermediaries on Enhancing AMLCFT Frameworks and Controls.txt,Anti Money Laundering,Anti Money Laundering,Anti Money Laundering
Cleaned_Data_v2/Financial/Investment and Market Research/finanalysis_sample_reports.txt,Investment and Market Research,Financial Statements,Investment and Market Research
Cleaned_Data_v2/Regulatory and Compliance/Anti Money Laundering/Notice PSN01 dated 2 April 2024.txt,Anti Money Laundering,Anti Money Laundering,Anti Money Laundering
Cleaned_Data_v2/Financial/Financial Statements/condensed-financial-statement-2q-2023-results.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Regulatory and Compliance/Risk Management/Compliance Toolkit for Merchant Banks Last Revised 12 September 2024.txt,Consumer Finance,Regulatory and Compliance,Regulatory and Compliance
Cleaned_Data_v2/Financial/Financial Statements/liquidity-coverage-ratio-2q-2017.txt,Financial Statements,Regulatory and Compliance,Risk Management
Cleaned_Data_v2/Regulatory and Compliance/Global Proxy Voting Policy - 2024.txt,Regulatory and Compliance,Regulatory and Compliance,Investment and Market Research
