,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,Word_10,Word_11,Word_12,Word_13,Word_14,Word_15,Word_16,Word_17,Word_18,Word_19,Word_20,Word_21,Word_22,Word_23,Word_24,Word_25,Word_26,Word_27,Word_28,Word_29,Word_30,Word_31,Word_32,Word_33,Word_34,Word_35,Word_36,Word_37,Word_38,Word_39,Word_40,Word_41,Word_42,Word_43,Word_44,Word_45,Word_46,Word_47,Word_48,Word_49,Word_50,Word_51,Word_52,Word_53,Word_54,Word_55,Word_56,Word_57,Word_58,Word_59,Word_60,Word_61,Word_62,Word_63,Word_64,Word_65,Word_66,Word_67,Word_68,Word_69,Word_70,Word_71,Word_72,Word_73,Word_74,Word_75,Word_76,Word_77,Word_78,Word_79,Word_80,Word_81,Word_82,Word_83,Word_84,Word_85,Word_86,Word_87,Word_88,Word_89,Word_90,Word_91,Word_92,Word_93,Word_94,Word_95,Word_96,Word_97,Word_98,Word_99,Word_100,Word_101,Word_102,Word_103,Word_104,Word_105,Word_106,Word_107,Word_108,Word_109,Word_110,Word_111,Word_112,Word_113,Word_114,Word_115,Word_116,Word_117,Word_118,Word_119,Word_120,Word_121,Word_122,Word_123,Word_124,Word_125,Word_126,Word_127,Word_128,Word_129,Word_130,Word_131,Word_132,Word_133,Word_134,Word_135,Word_136,Word_137,Word_138,Word_139,Word_140,Word_141,Word_142,Word_143,Word_144,Word_145,Word_146,Word_147,Word_148,Word_149,Word_150,Word_151,Word_152,Word_153,Word_154,Word_155,Word_156,Word_157,Word_158,Word_159,Word_160,Word_161,Word_162,Word_163,Word_164,Word_165,Word_166,Word_167,Word_168,Word_169,Word_170,Word_171,Word_172,Word_173,Word_174,Word_175,Word_176,Word_177,Word_178,Word_179,Word_180,Word_181,Word_182,Word_183,Word_184,Word_185,Word_186,Word_187,Word_188,Word_189,Word_190,Word_191,Word_192,Word_193,Word_194,Word_195,Word_196,Word_197,Word_198,Word_199,Word_200
Marketing and Public Communication,loyalty,program,personalized,marketing,creative,consumer,brand,leader,consulting,organization,team,audience,experience,people,insight,retail,campaign,managing director,growth,engagement,er,tool,strategy,managing,global,exhibit,build,learn,preference,opportunity,technology,survey,respondent,digital,speed,scale,drive,trend,journey,realtime,generate,testing,future,offering,age,leading,platform,channel,large,goal,membership,thirdparty,follow,article,competition,improve,travel,increasingly,better,revenue,advantage,sector,target,competitive,impact,research,capability,europe,faster,tech,reward,strategic,restaurant,segment,spending,talent,promotion,customer experience,generative,essential,million,efficiency,google,gap,grow,world,european,innovation,integrated,peer,creating,expectation,quality,gender,interaction,task,measurement,hotel,app,player,credit card,united state,set forth,new york,business strategy,year ago,right reserved,health care,new product,management service,product service,best practice,company share,million million,work future,transaction customer,average number,customer customer,customer information,global market,business model,fixed asset,high quality,share company,asset management,wide range,long term,past year,risk management,timely manner,aaa aaa,absolute discretion,acceptance payable,accompanying note,accordance paragraph,accordance provision,accordance sfrsi,account client,account holder,accounting entity,accounting estimate,accounting policy,accounting standard,accumulated depreciation,accumulated impairment,acquiring company,acquisition date,act behalf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Annual Reports,fair value,malaysia,sfrsi,bhd,financial statement,overseas bank,bank malaysia,fair,ecl,net,united overseas,group bank,comprehensive income,loan,ended,exposure,allowance,million,company united,united,overseas,year ended,annual report,financial asset,banking,nancial,recognised,ended december,derivative,credit risk,dec,impairment,loan advance,financing,explanatory note,financial year,uob,comprehensive,committee,islamic,note financial,db,audit,jun,explanatory,january,dividend,cash flow,year year,segment,amortised cost,amortised,accounting,lease,flow,risk management,interim financial,unaudited,financial liability,incorporated,profit loss,sep,currency,commitment,mar,entity,reserve,foreign exchange,auditor,receivables,deferred,measured,significant,impaired,derivative financial,growth,asset liability,retail,financial period,credit loss,statement group,ordinary share,ratio,hedge,creditimpaired,subordinated,financial instrument,debt instrument,profit tax,financial institution,bond,property plant,billion,deferred tax,chairman,future,accounting policy,income statement,operating income,associate,malaysia bhd,bhd incorporated,incorporated malaysia,islamic banking,advance financing,bhd annual,malaysia explanatory,condensed interim,financing advance,deposit placement,transferred stage,total comprehensive,banking operation,sheet exposure,lifetime ecl,kay hian,sfrsi sfrsi,hian holding,jun dec,subordinated bond,uob kay,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Investment and Market Research,ratio,growth,inflation,outlook,liberty,global,investor,goldman,goldman sachs,sachs,portfolio,medical,earnings,china,yield,percent,economy,index,longterm,fed,depreciation,baseline,private,bond,sector,fixed income,research,infrastructure,working capital,gdp,total asset,valuation,indicates,volatility,fixed asset,compared,strong,current asset,receivable,jan,loan,future,comparison,japan,sample,opportunity,shortterm,net,strategy,trend,exposure,total equity,consumer,theme,believe,cycle,solution,past,figure,inventory,asset class,world,think,expect,fiscal,liquidity,asset total,relative,investing,flow,forecast,analyst,sep,cut,energy,november,expectation,treasury,class,support,australia,central,detailed,liability total,greater,central bank,focus,cash flow,institute,mar,rising,estate,asia,real estate,impact,international,global market,operating profit,macro,spending,liberty medical,medical group,accumulated depreciation,hong kong,total liability,tax total,coverage ratio,debt equity,long term,operating expense,balance sheet,noncurrent asset,net income,asset management,credit risk,credit cost,capital market,npl ratio,greater china,mar dec,income tax,financial report,fee income,basis point,growth rate,intangible asset,economic growth,capital ratio,past year,risk including,expense operating,financial market,average number,malaysia thailand,income expense,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taxation,tax treatment,acquiring company,topup,amalgamation,income tax,amalgamated,allowance,functional currency,entity,acquiring,globe,fr,amalgamating,currency,appropriation,exchange difference,target company,functional,qualifying,foreign exchange,revenue,ordinary share,jurisdiction,computation,gain loss,stamp duty,annex,relief,accounting,stamp,bank account,million,ira,paragraph,ordinary,deductible,target,capital purpose,multinational,taxable,deduction,scheme,duty,apr,conversion,election,current year,mar,incurred,merger acquisition,located,threshold,designated,shareholding,filing,enterprise,adjustment,merger,gst,profit loss,financial liability,dec,method,financial asset,company company,impairment,exchange rate,unrealised,payable,foreign currency,fair value,adjusted,translated,framework,singapore dollar,treated,million million,recognised,carried,computed,realised,financial instrument,transaction cost,loan,impairment loss,jun,second,article,share company,financial statement,transitional,acquired,january,company share,amortised,fair,adopt,adoption,revaluation,year ended,mne group,trading stock,amalgamated company,topup tax,exchange gain,tax loss,year end,amortised cost,debt security,tax payable,financial year,fixed asset,tax rate,tax expense,asset financial,asset liability,authority singapore,accounting standard,loss period,loss recognised,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Risk Management,exposure,rwa,ma,merchant bank,institution,merchant,regulatory,tier,ccr,risk management,entity,credit risk,ratio,auditor,derivative,ma notice,hqla,outsourcing,tier capital,exposure measure,liquidity,relevant service,writedown,securitisation,pillar disclosure,lcr,paragraph,collateral,portfolio,leverage ratio,loan,sheet item,capital instrument,funding,subtotal,offbalance,audit,regulatory capital,banking,vote,cet,convertible,adjustment,service provider,capital requirement,issue manager,outflow,yes,issuer,outsourced,offbalance sheet,buffer,environmental,standardised approach,financial institution,supervisory,notice amendment,pillar,market risk,stable funding,risk weight,net,million,report page,leverage,cash outflow,retail,liquidity coverage,market participant,misstatement,derivative transaction,balance sheet,uob,maturity,framework,standardised,stable,accounting,coverage ratio,impact,internal model,liquid asset,onbalance,operational,yes yes,reporting bank,basel,ssa,risk material,instrument type,climate,outsourcing arrangement,june,securitisation exposure,defaulted,sector,internal control,credit exposure,small business,unsecured,environmental risk,default subtotal,outsourced relevant,disclosure report,subtotal default,regulatory adjustment,buffer requirement,banking book,basel iii,additional tier,group solo,ratingsbased approach,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audit Reports,audit,acra,engagement,public accountant,quality,accountant,auditor,inspection,audit quality,audit firm,pmp,finding,engagement team,inspection finding,financial statement,team,ssa,public report,accounting,audit evidence,sustainability,entity,audit procedure,segment,isca,quality control,group audit,profession,accounting estimate,listed company,audit engagement,significant,auditing,revenue,regulatory,engagement partner,staff,nonlisted,monitoring,aes,going concern,work performed,sustainability report,nonlisted company,noted,opinion,audit opinion,report section,estimate,component,assurance,independence,root cause,impact,root,auditor report,misstatement,accountancy,figure,support,testing,tool,sustainability reporting,committee,financial reporting,international,case study,guidance,initiative,deficiency,audit financial,risk assessment,audit committee,climaterelated,esg,accounting entity,fair value,inventory,issuer,value measurement,remediation,valuation,judgement,framework,identified,sufficient appropriate,response,tcfd,climate,responsibility,regulator,theme,material misstatement,technological,sgx,key audit,going,metric,oversight,code,pmp public,company segment,risk material,evidence obtained,data analytics,climate related,financial year,significant risk,year ended,audit matter,climaterelated risk,year year,internal audit,policy procedure,audit report,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Consumer Finance,uob,credit facility,clearing,merchant bank,borrower,merchant,residential property,paragraph,purchase residential,residential,ccp,ma,refinancing,vehicle,prescribed form,motor vehicle,clearing member,schedule,loan,clearing house,section banking,motor,banking,tenure,banking act,applied section,unsecured,outstanding,section applied,margin,act notice,house,prescribed,option purchase,facility granted,future,outstanding credit,annex,paragraph notice,intermediary,subparagraph,repayment,client account,form prior,applying,card,seek ma,notice prescribed,version,secured,form section,commodity,clause,email section,ma approval,body,accordance,referred paragraph,regulatory,future contract,revised september,physically,pursuant,issued november,november revised,warrant,flat,specified,settlement,transaction customer,ma notice,submitted,submission,act cap,foreign exchange,index,derivative,insolvency,july,set paragraph,legislative,sale purchase,sum,corresponding,exceeds,stated,underlying,applicable law,thereof,corporation,section section,financing,financial asset,currency,aggregate,future option,customer customer,collateral,associated,bank incorporated,client agreement,eurex clearing,facility purchase,refinancing facility,schedule client,directly indirectly,credit card,purpose paragraph,foreign currency,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Financial Regulations,ma,audit,market participant,holder,participant,service provider,licence,service licence,institution,market service,paragraph,wef,committee,capital market,holder capital,broker,regulatory,tenet,financial institution,auditor,customer asset,aes,engagement,future,senior,investor,code,surveillance,regulated,corporation,dealing,risk management,foreign exchange,regulated activity,quality,future contract,enforcement,senior management,audit committee,misconduct,governance,objective,responsibility,global,issuer,fund management,framework,section act,sfa,accredited,acra,subparagraph,shareholder,sgx,remuneration,specified,monetary authority,benchmark,executive,exempted,fair,token,supervision,monitoring,guidance,retail,authority singapore,entity,inspection,board senior,impact,consumer,trading activity,settlement,digital payment,accordance,significant,investigation,offence,staff,internal audit,external,stakeholder,conflict,security future,opinion,assurance,corporate governance,sustainability,digital,oversight,finding,external auditor,licensed,leveraged,safeguard,accountability,supervisory,custody,market practice,dpt service,global code,payment token,group audit,financial statement,board committee,security exchange,audit quality,policy procedure,internal control,internal auditor,clearing house,engagement team,nominating committee,remuneration committee,referred paragraph,audit function,act cap,substantial shareholder,inspection finding,listed company,risk profile,independent director,audit firm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anti Money Laundering,amlcft,ma,legal person,cdd,laundering,mltf,sector,merchant bank,financing,paragraph,money laundering,fatf,institution,fis,merchant,ma notice,entity,terrorism,typology,financial institution,crime,proliferation,business relation,illicit,banking,acra,wire transfer,beneficial owner,lea,bank account,proceeds,criminal,monitoring,threat,financing terrorism,amlcft control,shell company,suspicious,payment service,wire,shell,offence,jurisdiction,observed,natural person,higher risk,service provider,notice amendment,beneficial,paragraph notice,casino,risk assessment,case study,pep,investigation,supervisory,correspondent,guidance,stro,amlcft requirement,beneficiary,cad,sanction,international,suspicious transaction,diligence,originator,natural,syndicate,flag,fraud,countering financing,str,terrorism financing,regulated,vulnerability,legal arrangement,misuse,laundering countering,bank shall,best practice,money transfer,prevention money,trade finance,estate,amendment,country jurisdiction,laundering terrorism,analytics,countering,identified,csp,precious,real estate,screening,transfer service,prevention,involving,token,policy procedure,mltf risk,proliferation financing,cdd measure,value transfer,transfer originator,regulated dealer,institution shall,correspondent banking,customer diligence,red flag,transaction monitoring,data analytics,prescribed form,relation customer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Technology,oday,institute,future,technology,right reserved,tech,space,reserved,researcher,digital,metaverse,health,human,robot,sport,user,cell,drone,energy,work future,intelligence,ing,world,university,virtual,experience,platform,device,research,sensor,carbon,climate,chip,health care,news,reality,dna,quantum,computing,threat,cybersecurity,artificial,cyber,tool,attack,blockchain,global,consumer,innovation,artificial intelligence,smart,robotics,chain,patient,game,food,traditional,solution,gene,capability,lab,earth,network,supply chain,guest,organization,trend,mobility,city,team,scenario,medicine,image,satellite,battery,restaurant,impact,computer,scientist,startup,web,software,increasingly,life,efficiency,learning,fan,generative,cloud,vehicle,synthetic,victim,significant,personalized,solar,actor,autonomous,task,tion,science,future oday,oday institute,institute right,reserved industry,list work,year list,climate change,machine learning,financial service,business model,new york,financial institution,chief executive,personal data,past year,managing director,real estate,executive officer,year year,product service,management service,wide range,new business,new product,customer experience,united state,best practice,case study,year ago,covid pandemic,private sector,digital payment,data analytics,risk associated,risk assessment,bank account,financial sector,risk management,restaurant hotel,effective date,law enforcement,banking service,economic growth,global market,service provider,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
