file_path,expected_topic,predicted_topic_gpt4o,predicted_topic_llama
Cleaned_Data_v2/Financial/Investment and Market Research/finanalysis_sample_reports.txt,Investment and Market Research,Financial Statements,Financial Statements
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/pillar3-disclosures-2q-2022.txt,Risk Assessment Reports and Frameworks,Regulatory and Compliance,Financial Statements
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/Money Laundering National Risk Assessment.txt,Risk Assessment Reports and Frameworks,Risk Assessment Reports and Frameworks,Marketing and Public Communication
Cleaned_Data_v2/Legal and Contractual/Non-Disclosure Agreements (NDA)/GEL-NDA.txt,Non-Disclosure Agreements (NDA),Non-Disclosure Agreements (NDA),Non-Disclosure Agreements (NDA)
Cleaned_Data_v2/Financial/Annual Reports/2023-annual-report-en.txt,Annual Reports,Annual Reports,Annual Reports
Cleaned_Data_v2/Regulatory and Compliance/Taxation/etaxguides_iit_tax-framework-for-corporate-amalgamations-(fourth-edition).txt,Taxation,Taxation,Taxation
Cleaned_Data_v2/Financial/Financial Statements/uobar2020.txt,Financial Statements,Annual Reports,Annual Reports
Cleaned_Data_v2/Financial/Financial Statements/Balance_sheets30June17.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Regulatory and Compliance/Anti Money Laundering/Guidance to Capital Markets Intermediaries on Enhancing AMLCFT Frameworks and Controls.txt,Anti Money Laundering,Regulatory and Compliance,Anti Money Laundering
Cleaned_Data_v2/Financial/Financial Statements/Audited-Results-For-Year-Ended-31-Dec-2020.txt,Financial Statements,Annual Reports,Annual Reports
Cleaned_Data_v2/Regulatory and Compliance/Anti Money Laundering/Notice PSN01 dated 2 April 2024.txt,Anti Money Laundering,Regulatory and Compliance,Regulatory and Compliance
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/pillar3-disclosures-2q-2019.txt,Risk Assessment Reports and Frameworks,Regulatory and Compliance,Financial Statements
Cleaned_Data_v2/Regulatory and Compliance/Risk Management/Compliance Toolkit for Merchant Banks Last Revised 12 September 2024.txt,Consumer Finance,Regulatory and Compliance,Financial Statements
Cleaned_Data_v2/Financial/Annual Reports/annual-report-2019.txt,Annual Reports,Annual Reports,Annual Reports
Cleaned_Data_v2/Financial/Financial Statements/condensed-financial-statement-2q-2022.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Regulatory and Compliance/Risk Management/Response to Consultation Paper on Management of Outsourced Relevant Services.txt,Risk Management,Regulatory and Compliance,Regulatory and Compliance
Cleaned_Data_v2/Regulatory and Compliance/Financial Regulations/The Singapore Guide to Conduct and Market Practices for the Wholesale Financial Markets.txt,Financial Regulations,Regulatory and Compliance,Regulatory and Compliance
Cleaned_Data_v2/Regulatory and Compliance/Audit Reports/audit-regulatory-report-2023.txt,Audit Reports,Audit Reports,Audit Reports
Cleaned_Data_v2/Legal and Contractual/Client Agreements/capitalxtend-client-agreement-v10-28112023.txt,Client Agreements,Financial Regulations,Client Agreements
Cleaned_Data_v2/Financial/Financial Statements/liquidity-coverage-ratio-4q-2017.txt,Financial Statements,Risk Management,Financial Statements
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/pillar3-disclosures-1q-2023.txt,Risk Assessment Reports and Frameworks,Regulatory and Compliance,Financial Statements
Cleaned_Data_v2/Regulatory and Compliance/Risk Management/FAQ - Notice on Technology Risk Management.txt,Risk Management,Regulatory and Compliance,Risk Management
Cleaned_Data_v2/Financial/Financial Statements/ocbc 3q24 results press release.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Technology/5f57eed0d983f9acc1ca0af0_360Alumni API Documentation.txt,Technology,Marketing and Public Communication,Technology
Cleaned_Data_v2/Legal and Contractual/Client Agreements/uob-bib-service-agreement.txt,Client Agreements,Client Agreements,Technology
Cleaned_Data_v2/Regulatory and Compliance/Risk Management/MAS Notice 1108 Cancellation.txt,Risk Management,Regulatory and Compliance,Regulatory and Compliance
Cleaned_Data_v2/Regulatory and Compliance/Audit Reports/2020-pmp-public-report.txt,Audit Reports,Audit Reports,Risk Management
Cleaned_Data_v2/Financial/Investment and Market Research/BNY-2025-market-outlook-navigating-a-new-landscape.txt,Investment and Market Research,Financial Statements,Investment and Market Research
Cleaned_Data_v2/Financial/Financial Statements/gp-financial-4q-2020.txt,Financial Statements,Financial Statements,Annual Reports
Cleaned_Data_v2/Operational/sg-cass-ac121-2-3(rev-0)-sop-for-flight-crew-members.txt,Operational,Regulatory and Compliance,Regulatory and Compliance
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/pillar3-disclosures-3q-2022.txt,Risk Assessment Reports and Frameworks,Risk Assessment Reports and Frameworks,Financial Statements
Cleaned_Data_v2/Financial/Financial Statements/unaudited-interim-financial-statements-30092021.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/pillar3-disclosures-4q-2021.txt,Risk Assessment Reports and Frameworks,Regulatory and Compliance,Financial Statements
Cleaned_Data_v2/Operational/nucats-overview-of-sops.txt,Operational,Financial Statements,Operational
Cleaned_Data_v2/Financial/Financial Statements/financial-updates-3q-2020.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Financial/Financial Statements/liquidity-coverage-ratio-4q-2018.txt,Financial Statements,Risk Management,Financial Statements
Cleaned_Data_v2/Financial/Financial Statements/Balance_sheets31Mar17.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/regulatory-disclosures-pillar-3-disclosures-q1-2024.txt,Risk Assessment Reports and Frameworks,Risk Assessment Reports and Frameworks,Financial Statements
Cleaned_Data_v2/Legal and Contractual/Mergers and Acquisitions/mpdf.txt,Mergers and Acquisitions,Mergers and Acquisitions,Mergers and Acquisitions
Cleaned_Data_v2/Regulatory and Compliance/Enforcement Monograph Final Revised Apr 20221.txt,Regulatory and Compliance,Regulatory and Compliance,Financial Statements
Cleaned_Data_v2/Regulatory and Compliance/Financial Regulations/MAS-SGX Trade Surveillance Practice Guide.txt,Financial Regulations,Regulatory and Compliance,Regulatory and Compliance
Cleaned_Data_v2/Strategic/BB_Strategies_for_growth.txt,Strategic,Strategic,Strategic
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/pillar3-disclosures-3q-2018.txt,Risk Assessment Reports and Frameworks,Risk Assessment Reports and Frameworks,Risk Management
Cleaned_Data_v2/Legal and Contractual/Loans/Guarantee to Bank.txt,Loans,Marketing and Public Communication,Marketing and Public Communication
Cleaned_Data_v2/Financial/Financial Statements/3. Nomura Financial Statement.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Strategic/BCG-Your-Capabilities-Need-a-Strategy-Mar-2019_tcm9-215825.txt,Strategic,Strategic,Technology
Cleaned_Data_v2/Financial/Financial Statements/gp-financial-3q-2017.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Financial/Annual Reports/Annual-ReportDec2016.txt,Annual Reports,Annual Reports,Annual Reports
Cleaned_Data_v2/Marketing and Public Communication/what-consumers-want-from-personalization.txt,Marketing and Public Communication,Marketing and Public Communication,Marketing and Public Communication
Cleaned_Data_v2/Financial/Annual Reports/Annual-Report2017.txt,Annual Reports,Annual Reports,Annual Reports
Cleaned_Data_v2/Regulatory and Compliance/Consumer Finance/Notice 1109 Unsecured Credit Facilities to Individuals_1 Jul 2021.txt,Consumer Finance,Regulatory and Compliance,Regulatory and Compliance
Cleaned_Data_v2/Financial/Financial Statements/condensed-financial-statement-4q-2021.txt,Financial Statements,Annual Reports,Annual Reports
